TIME,P
0.1513672,0.214649999999994
0.2958984,0.21450000000000635
0.4335938,0.21498750000000788
0.5996094,0.21476250000000974
0.7587891,0.21922500000000067
0.9111328,0.21843750000002382
1.063477,0.2196750000000136
1.217773,0.21945000000001547
1.392578,0.2196750000000136
1.553711,0.22065
1.700195,0.21495000000000264
1.852539,0.22271250000002185
2.001953,0.21918750000001208
2.180664,0.22046249999999046
2.368164,0.21821250000000902
2.523438,0.21738750000002693
2.676758,0.2179500000000223
2.831055,0.21810000000000995
2.979492,0.21757500000001984
3.120117,0.2173124999999998
3.269531,0.21599999999999953
3.425781,0.21483750000000357
3.583008,0.21742499999999887
3.741211,0.2148750000000088
3.891602,0.214649999999994
4.045898,0.21746250000002076
4.195313,0.21555000000000324
4.375,0.21648750000000105
4.538086,0.2166750000000106
4.685547,0.21521249999998937
4.838867,0.21607499999999336
4.986328,0.21817500000000378
5.171875,0.21648750000000105
5.327148,0.2150625000000017
5.478516,0.2157375000000128
5.633789,0.21457500000000018
5.783203,0.21382500000001192
5.958008,0.2166750000000106
6.106445,0.21611250000001525
6.255859,0.21622500000001432
6.411133,0.21607499999999336
6.557617,0.2137124999999962
6.742188,0.2152875000000165
6.90332,0.21255000000000024
7.048828,0.21273749999999314
7.203125,0.21480000000001498
7.351563,0.21637500000000198
7.508789,0.21607499999999336
7.661133,0.21390000000000575
7.814453,0.21356250000000854
7.966797,0.21513749999999554
8.126953,0.21273749999999314
8.285156,0.21405000000002672
8.438477,0.2152875000000165
8.59375,0.21363750000000237
8.743164,0.21198750000000488
8.914063,0.2152875000000165
9.067383,0.21420000000001438
9.21875,0.21285000000000887
9.370117,0.21378749999999003
9.517578,0.2152875000000165
9.675781,0.2159250000000057
9.823242,0.21408749999999865
9.980469,0.21408749999999865
10.12402,0.21116250000000614
10.30078,0.21420000000001438
10.46191,0.2104875000000117
10.61426,0.2156999999999909
10.76465,0.21765000000001367
10.91797,0.21213750000002585
11.09961,0.2127000000000212
11.25488,0.21712499999999024
11.40918,0.2120624999999987
11.56055,0.21408749999999865
11.70996,0.21405000000002672
